 Flow Duration , Total Fwd Packets ,Total Backward Packets, Flow Bytes/s ,Fwd Packet Length Mean, Bwd Packet Length Mean , Flow IAT Mean , Label
68507,1865,3308,inf,256.59894714023176,185.22351796954626,299.31315985617323, BENIGN 
58018,4734,4988,1890.3207603468143,273.64662134219117,341.08959408183136,947.4318814167656, BENIGN 
375,1786,4219,1360.9865758537192,277.1623516979913,180.8671022596239,1285.4473022318684, BENIGN 
22340,3099,4280,3039.4613119820947,191.23629677960622,233.86560005194877,796.7280866800979, BENIGN 
34803,2551,4154,1918.8319561316266,223.97901365653576,32.967890638958295,1065.2716905131076, BENIGN 
21514,4919,350,2404.5106578879027,212.0633058093907,267.6497868379899,572.7562875111452, BENIGN 
57881,2751,2757,1566.8633713069848,450.91392135000035,292.89783650767055,1371.9321586029546, ATTACK 
61540,2514,2829,2516.1161553986367,331.6161633164868,136.35789796295643,1228.1683714115334, BENIGN 
16970,2332,505,1651.0756785374774,263.4305827860314,174.16792749381062,1006.9049116913736, BENIGN 
12387,1878,737,3909.4901304395407,359.2787420103748,241.6052464088466,1059.055425762049, BENIGN 
65533,2200,2826,3575.073563754693,349.17505956067333,211.36224860887128,512.2486578467319, BENIGN 
46978,2303,3579,3180.2751377692234,139.5580553947997,242.64587133634564,527.887336677489, ATTACK 
26507,3818,1046,2637.669684383318,232.17173751400338,189.89312547976618,957.3030016793324, ATTACK 
25582,230,2420,554.77588043673,248.69404825531316,340.4285770936065,1179.807183753899, BENIGN 
3921,2505,376,2450.152049406185,298.9222359185653,163.11819075026932,1197.5325348294446, BENIGN 
85392,2746,552,2086.252147575151,232.08058037660535,398.41022991337513,872.9734940601058, ATTACK 
84175,3766,2901,3296.729060718626,242.11751079296994,296.9346742144395,1260.8824247019995, BENIGN 
55449,3331,2785,3743.648602565246,213.09209381669282,268.24807011690257,1497.2770345947506, BENIGN 
34942,2160,3750,3389.559194991704,333.9148130068087,137.16656559498898,968.9664041675189, BENIGN 
21511,548,4553,4515.645970951906,134.5327645817556,273.67776685864806,1108.3823673141221, BENIGN 
30745,1860,950,2318.0229187378923,215.81161827461293,252.27569014764305,927.2510543830558, BENIGN 
92646,1278,1706,2268.2689424152277,102.50592044831183,61.627271812895145,955.792791861021, BENIGN 
8887,1021,4279,4245.453874683092,167.6288445481396,111.67797849451432,1059.3475130354147, ATTACK 
82289,3606,254,3199.459673445761,275.3741973097522,235.0339548490848,1596.142501168853, BENIGN 
30450,2391,4141,2703.601511349341,276.89234319685175,200.66901948339333,1320.3467320359425, ATTACK 
26529,3968,4726,5215.8253738737385,224.94466463674758,173.84652533144185,1288.814551816763, BENIGN 
80977,692,500,3693.276656859219,339.9188116910222,285.5264436118823,841.1899968121256, BENIGN 
96105,4929,709,2771.3469912790997,358.3234309839431,148.1354498106473,685.6386979229019, BENIGN 
99154,2367,3421,2176.86622362324,244.46181317760215,178.13313398887587,1136.337404334615, BENIGN 
26774,1266,2375,4591.8152059006425,270.0346285115368,164.7079148388131,1435.3108598911685, ATTACK 
59110,1815,4937,3248.396425067603,213.79644462212804,245.71184805158094,1603.1915394864852, BENIGN 
29265,4207,2723,inf,300.15101771612206,89.63792601252936,141.5769837570043, ATTACK 
19348,3550,3275,3811.531712946108,154.47516159802825,175.16297037047167,1856.235902407696, BENIGN 
38596,861,1186,4056.105428224769,393.66678475034195,89.40643455361196,1145.9454318866901, BENIGN 
6244,4950,1623,3659.8439813890764,341.19882101825806,188.09871673306736,1318.1256274573275, BENIGN 
16481,655,887,4060.7706907583324,154.08589168471175,260.61343068302637,391.01956171155325, BENIGN 
